time,x,y
2017-02-02T17:43:23.685589+00:00,752496,656205
2017-02-02T17:43:23.719309+00:00,752496,654422
2017-02-02T17:43:23.753029+00:00,750713,652639
2017-02-02T17:43:23.786749+00:00,752496,652639
2017-02-02T17:43:23.820468+00:00,752496,652639
2017-02-02T17:43:23.854188+00:00,750713,654422
2017-02-02T17:43:23.887908+00:00,745363,656205
2017-02-02T17:43:23.921628+00:00,745363,657988
2017-02-02T17:43:23.955348+00:00,745363,657988
2017-02-02T17:43:23.989068+00:00,745363,656205
2017-02-02T17:43:24.022788+00:00,747146,652639
2017-02-02T17:43:24.056508+00:00,750713,645506
2017-02-02T17:43:24.090228+00:00,752496,641940
2017-02-02T17:43:24.123948+00:00,756062,638373
2017-02-02T17:43:24.157668+00:00,763195,631241
2017-02-02T17:43:24.191388+00:00,764978,629457
2017-02-02T17:43:24.225108+00:00,766761,627674
2017-02-02T17:43:24.258828+00:00,766761,627674
2017-02-02T17:43:24.292548+00:00,763195,629457
2017-02-02T17:43:24.326268+00:00,759629,631241
2017-02-02T17:43:24.359987+00:00,757845,633024
2017-02-02T17:43:24.393707+00:00,757845,633024
2017-02-02T17:43:24.427427+00:00,757845,634807
2017-02-02T17:43:24.461147+00:00,757845,636590
2017-02-02T17:43:24.494867+00:00,757845,638373
2017-02-02T17:43:24.528587+00:00,752496,641940
2017-02-02T17:43:24.562307+00:00,752496,643723
2017-02-02T17:43:24.596027+00:00,752496,641940
2017-02-02T17:43:24.629747+00:00,752496,641940
2017-02-02T17:43:24.663467+00:00,752496,638373
2017-02-02T17:43:24.697187+00:00,752496,633024
2017-02-02T17:43:24.730907+00:00,752496,627674
2017-02-02T17:43:24.764627+00:00,754279,620542
2017-02-02T17:43:24.798347+00:00,754279,615192
2017-02-02T17:43:24.832067+00:00,754279,608059
2017-02-02T17:43:24.865787+00:00,752496,600927
2017-02-02T17:43:24.899506+00:00,752496,593794
2017-02-02T17:43:24.933226+00:00,752496,586661
2017-02-02T17:43:24.966946+00:00,756062,584878
2017-02-02T17:43:25.000666+00:00,756062,583095
2017-02-02T17:43:25.034386+00:00,757845,584878
2017-02-02T17:43:25.068106+00:00,757845,584878
2017-02-02T17:43:25.101826+00:00,759629,586661
2017-02-02T17:43:25.135546+00:00,759629,588445
2017-02-02T17:43:25.169266+00:00,759629,588445
2017-02-02T17:43:25.202986+00:00,757845,588445
2017-02-02T17:43:25.236706+00:00,757845,588445
2017-02-02T17:43:25.270426+00:00,757845,588445
2017-02-02T17:43:25.304146+00:00,759629,588445
2017-02-02T17:43:25.337866+00:00,759629,588445
2017-02-02T17:43:25.371586+00:00,759629,588445
2017-02-02T17:43:25.405306+00:00,757845,586661
2017-02-02T17:43:25.439026+00:00,757845,584878
2017-02-02T17:43:25.472745+00:00,757845,583095
2017-02-02T17:43:25.506465+00:00,757845,577746
2017-02-02T17:43:25.540185+00:00,757845,570613
2017-02-02T17:43:25.573905+00:00,757845,565263
2017-02-02T17:43:25.607625+00:00,757845,558131
2017-02-02T17:43:25.641345+00:00,756062,552781
2017-02-02T17:43:25.675065+00:00,754279,547432
2017-02-02T17:43:25.708785+00:00,754279,543865
2017-02-02T17:43:25.742505+00:00,754279,538516
2017-02-02T17:43:25.776225+00:00,752496,533166
2017-02-02T17:43:25.809945+00:00,752496,529600
2017-02-02T17:43:25.843665+00:00,759629,518901
